stuid,schoolid,female,grade,atrisk,ell,iep,treatment,classroom,pre_test_math,pre_test_read,post_test_math
1,A,0,,1,0,0,0,27,737,802,738
2,A,1,7,1,1,0,0,23,765,759,760
3,A,1,,1,1,0,0,25,718,751,682
4,A,0,7,0,0,0,0,8,701,730,712
5,A,0,7,1,1,0,1,4,770,800,723
6,A,1,,1,1,0,0,14,797,781,809
7,A,0,8,0,0,0,0,10,779,722,750
8,A,0,8,1,0,1,1,6,784,817,795
9,A,1,8,1,0,0,0,26,747,692,690
10,A,0,,1,0,0,0,27,727,749,716
11,A,0,8,0,0,0,0,16,744,750,752
12,A,0,8,0,1,0,0,23,800,747,801
13,A,1,7,0,1,1,0,11,770,693,733
14,A,0,,0,0,0,0,29,815,732,795
15,A,1,,1,0,0,0,11,791,777,728
16,A,1,7,1,0,0,0,27,796,737,759
17,A,0,7,0,0,0,0,18,748,736,691
18,A,1,,0,0,0,1,6,748,736,696
19,A,0,8,0,0,0,1,1,757,840,763
20,A,1,,1,0,1,0,28,762,755,730
21,A,1,8,1,0,1,0,23,749,702,675
22,A,1,,0,0,0,0,24,776,793,729
23,A,0,8,0,0,0,1,5,755,702,725
24,A,0,7,0,1,0,0,19,727,730,665
25,A,1,,0,0,0,0,14,794,743,743
26,A,0,,0,0,0,0,17,716,720,708
27,A,1,7,1,0,0,1,3,803,699,752
28,A,0,,0,1,0,0,16,762,772,754
29,A,1,,1,0,0,0,8,771,724,768
30,A,0,7,1,0,0,0,26,733,712,715
31,A,1,7,1,0,0,0,17,797,760,773
32,A,0,,0,1,1,0,25,717,757,672
33,A,1,7,0,0,0,0,26,745,719,772
34,A,1,7,0,0,0,1,6,705,785,683
35,A,1,,0,0,0,0,9,751,723,718
36,A,1,7,1,1,0,0,22,780,770,754
37,A,1,,0,0,0,1,3,753,762,801
38,A,1,,1,0,0,0,28,704,698,686
39,A,1,8,1,0,0,0,21,760,779,794
40,A,1,7,1,1,0,0,27,710,708,667
41,A,1,8,1,0,0,0,11,742,828,706
42,A,1,8,1,0,0,0,11,751,783,748
43,A,0,8,1,0,0,0,25,717,771,710
44,A,0,,1,1,0,0,10,762,736,739
45,A,0,8,0,0,1,0,26,747,742,722
46,A,1,7,0,0,0,1,0,753,700,726
47,A,1,8,1,1,1,0,12,713,760,739
48,A,0,,0,0,0,0,22,750,750,719
