stuid,schoolid,days_absent,miles_to_school,pre_test_read,pre_test_math,treatment,atrisk,grade,female
1,D,2,5.5614142,770,702,1,1,9,0
2,D,3,2.8630717,736,727,1,1,11,1
3,D,1,1.9353772,743,759,1,0,10,1
4,D,3,1.3240756,745,808,1,1,11,0
5,D,11,.78877234,703,750,1,1,9,0
6,D,3,3.1585615,792,776,1,1,11,1
7,D,6,3.1319668,757,811,1,1,12,0
8,D,0,2.4171891,732,723,1,0,9,1
9,D,4,3.6991277,797,795,1,1,11,0
10,D,3,5.4152317,771,721,1,0,9,1
11,D,0,5.6451464,755,721,1,0,10,1
12,D,0,3.5918474,713,736,1,0,9,0
13,D,1,2.3266554,827,736,1,1,9,1
14,D,2,3.7790029,699,751,1,0,9,0
15,D,3,2.508745,790,799,1,1,11,0
16,D,3,1.0821044,766,730,1,1,9,1
17,D,10,3.5002179,741,700,1,1,9,0
18,D,1,1.9319113,774,802,1,0,11,1
19,D,6,3.4829266,765,726,1,1,12,0
20,D,4,.81308901,753,732,1,1,11,0
21,D,0,2.079607,748,789,1,0,9,1
22,D,2,5.1701493,690,749,1,1,9,1
23,D,6,3.9684119,799,755,1,1,11,1
24,D,0,2.0081487,769,764,1,0,10,0
25,D,0,.13811409,690,732,1,0,11,1
26,D,2,1.5507776,722,696,1,0,9,1
27,D,11,4.2263761,737,733,1,0,12,1
28,D,0,2.2410009,757,727,1,0,9,0
29,D,0,.71071053,760,737,1,0,10,1
30,D,0,7.7075429,787,742,1,0,10,1
31,D,5,5.2098579,738,745,1,0,11,0
32,D,0,1.320792,804,741,1,0,9,0
33,D,3,4.3672209,678,749,1,0,9,1
34,D,8,4.0920124,819,765,1,1,12,0
35,D,1,2.1221044,777,762,1,1,9,0
36,D,3,3.0222888,696,711,1,1,11,1
37,D,0,2.5612767,769,699,1,0,10,0
38,D,5,3.3887882,712,805,1,1,10,1
39,D,4,4.0883641,761,762,1,1,11,0
40,D,1,2.6331849,735,763,1,0,11,1
41,D,3,2.2319965,732,740,1,1,11,1
42,D,2,2.3992891,744,761,1,1,11,0
43,D,7,1.4809892,789,771,1,0,11,0
44,D,0,4.0368319,706,746,1,0,9,1
45,D,6,3.3476341,723,763,1,0,12,1
46,D,1,3.235503,750,718,1,1,10,0
47,D,5,3.5086095,704,747,1,1,11,0
48,D,3,4.4314494,717,762,1,0,12,0
49,D,3,2.201575,758,712,1,1,11,0
50,D,3,4.4763675,781,747,1,0,9,0
51,D,4,3.5682926,784,695,1,0,12,1
52,D,0,1.4404373,767,766,1,0,10,0
53,D,6,4.1004996,770,723,1,1,11,1
54,D,1,3.772207,739,728,1,0,10,1
55,D,3,4.4059401,720,786,1,1,9,0
56,D,3,5.9361048,709,780,1,0,10,0
57,D,2,3.4399126,700,753,1,0,10,1
58,D,1,1.4536198,763,752,1,1,10,1
59,D,5,1.0480169,795,765,1,1,10,1
60,D,0,1.4387085,767,685,1,0,10,1
61,D,2,2.6619895,728,738,1,1,10,1
62,D,0,.50474656,732,764,1,0,10,0
63,D,3,.83996671,735,731,1,1,10,1
64,D,2,4.0653386,763,741,1,0,9,1
65,D,0,4.0800653,747,712,1,0,11,1
66,D,2,3.2774115,782,816,1,0,12,1
67,D,6,4.8221793,739,786,1,1,12,1
68,D,1,2.4012036,765,780,1,1,10,1
69,D,6,2.4069223,691,733,1,0,11,1
70,D,0,4.16643,692,811,1,0,10,1
71,D,2,5.0222034,736,775,1,0,9,0
72,D,2,1.8516318,745,800,1,1,11,0
73,D,3,2.0908456,747,712,1,0,12,0
74,D,0,3.1337178,746,726,1,0,10,0
75,D,3,1.7655691,751,743,1,0,12,0
76,D,7,.97906822,747,750,1,0,11,1
77,D,2,2.9392657,728,716,1,1,10,1
78,D,0,3.5090992,750,745,1,0,9,0
79,D,3,.84324563,738,722,1,0,12,0
80,D,5,1.8962052,813,794,1,1,9,0
81,D,6,3.0345032,703,794,1,1,12,0
82,D,6,4.7480092,730,777,1,1,12,1
83,D,1,3.2100978,809,712,1,1,10,0
84,D,4,.74789155,729,660,1,1,10,0
85,D,0,3.6261435,838,773,1,0,10,0
86,D,0,.62249905,736,704,1,0,10,0
87,D,0,5.3772273,711,785,1,0,11,0
88,D,2,1.2911685,718,752,1,1,9,1
89,D,0,2.7207236,732,773,1,0,10,1
90,D,0,2.1135194,755,780,1,0,9,0
91,D,10,2.7292674,717,723,1,1,10,1
92,D,7,5.296998,776,734,1,1,12,0
93,D,6,2.3152115,704,761,1,0,12,0
94,D,5,3.8485932,683,846,1,0,12,0
95,D,4,4.811214,694,742,1,0,12,1
96,D,0,2.3187273,747,724,1,0,11,0
97,D,2,5.6301417,751,706,1,0,10,0
98,D,4,1.1839689,775,724,1,1,11,0
99,D,0,3.6562262,740,700,1,0,10,1
100,D,2,3.5706673,779,756,1,1,10,0
101,D,1,1.5432708,717,738,1,0,10,1
102,D,0,2.7473443,724,780,1,0,10,1
103,D,0,4.0355058,827,728,1,0,9,1
104,D,2,2.9612036,681,767,1,0,9,1
105,D,6,4.1606913,755,791,1,1,10,1
106,D,3,4.0200906,781,726,1,0,12,1
107,D,2,2.2421196,752,729,1,1,11,1
108,D,2,2.4858775,700,783,1,1,9,1
109,D,1,1.5488255,773,760,1,0,9,1
110,D,2,4.4727974,746,759,1,1,10,1
111,D,1,3.3609753,736,741,1,0,11,1
112,D,3,1.4336091,768,760,1,1,10,0
113,D,0,1.2466637,789,793,1,0,10,1
114,D,0,2.4345543,767,739,1,0,9,1
115,D,7,5.225101,751,731,1,1,12,0
116,D,6,4.829052,721,717,1,0,12,1
117,D,3,2.9903104,789,755,1,0,10,0
118,D,6,5.517745,746,732,1,1,12,1
119,D,0,2.9323597,772,779,1,0,10,0
120,D,0,2.2386401,741,715,1,0,10,1
121,D,2,3.5706458,756,736,1,1,9,1
122,D,3,2.8678472,729,737,1,1,9,1
123,D,0,2.9101605,685,809,1,0,9,1
124,D,6,.97561795,701,726,1,1,12,1
125,D,0,2.640316,712,782,1,0,11,0
126,D,1,.1165813,730,683,1,0,11,0
127,D,5,2.6621003,752,732,1,1,9,0
128,D,3,2.2735054,739,772,1,1,9,0
129,D,2,3.3308418,728,757,1,1,10,0
130,D,2,.36744243,781,811,1,1,10,1
131,D,4,3.9969563,687,693,1,1,11,1
132,D,4,.91291434,738,781,1,0,12,0
133,D,7,2.7185998,716,787,1,1,11,1
134,D,3,4.479558,788,725,1,1,10,0
135,D,4,1.70969,711,774,1,0,10,0
136,D,0,3.3475151,782,779,1,0,9,1
137,D,5,5.1206436,785,733,1,1,12,1
138,D,4,4.3592782,712,761,1,1,9,0
139,D,0,1.592332,758,754,1,0,10,0
140,D,13,2.7734456,749,789,1,0,12,1
141,D,4,.96397197,810,785,1,1,11,0
142,D,2,1.1747305,815,695,1,1,10,0
143,D,1,2.9604065,749,760,1,0,10,1
144,D,1,4.8484898,788,775,1,0,11,1
145,D,0,3.859215,778,679,1,0,10,0
146,D,3,5.8831091,702,768,1,1,10,1
147,D,0,2.9738152,702,770,1,0,10,0
148,D,3,3.7507532,664,737,1,0,12,1
149,D,1,3.8566849,723,699,1,0,11,0
150,D,4,5.5280738,744,707,1,0,11,0
151,D,3,2.0404675,750,701,1,1,10,0
152,D,3,2.4549482,774,779,1,1,10,1
153,D,3,3.6513286,777,785,1,1,9,0
154,D,2,4.6186333,829,802,1,0,11,1
155,D,3,3.610549,785,778,1,0,11,1
156,D,3,2.6640847,750,697,1,0,11,1
157,D,0,3.2270236,790,720,1,0,10,0
158,D,4,3.7076805,779,775,1,0,10,0
159,D,1,3.009768,721,759,1,1,9,1
160,D,1,4.1108451,708,715,1,0,10,0
161,D,0,5.3698545,750,752,1,0,9,0
162,D,3,4.9306674,764,736,1,1,10,1
163,D,3,2.4293654,789,730,1,0,12,1
164,D,0,2.1120386,746,742,1,0,9,0
165,D,2,5.4054089,713,749,1,1,10,0
166,D,4,2.3358138,727,772,1,0,10,0
167,D,0,.87206066,759,755,1,0,11,0
168,D,0,1.6297108,702,748,1,0,10,0
169,D,1,2.2431247,749,731,1,0,9,1
170,D,0,5.2863526,733,727,1,0,9,1
171,D,3,2.8480663,788,746,1,1,10,0
172,D,1,2.2838416,750,727,1,0,9,0
173,D,2,2.4439816,764,778,1,0,11,1
174,D,8,4.1971598,785,715,1,1,9,1
175,D,3,2.9411201,740,770,1,0,12,0
176,D,2,.49821776,791,720,1,1,9,0
177,D,6,3.1500912,792,716,1,1,12,1
178,D,1,2.0091426,777,726,1,0,9,1
179,D,0,1.1126785,771,681,1,0,10,0
180,D,0,2.3355641,726,751,1,0,10,1
181,D,0,3.787668,732,780,1,0,9,1
182,D,0,2.3643529,708,753,1,0,10,0
183,D,0,4.5937853,776,702,1,0,9,1
184,D,0,.96228802,711,718,1,0,9,0
185,D,1,2.5076859,754,751,1,0,11,1
186,D,3,2.3220029,743,733,1,0,12,1
187,D,2,4.6804743,825,775,1,0,10,0
188,D,4,4.4497852,740,711,1,0,12,0
189,D,0,3.6355097,751,755,1,0,11,1
190,D,3,3.7750704,767,737,1,0,12,0
191,D,3,3.720124,752,725,1,0,9,1
192,D,2,5.2789879,689,720,1,1,9,1
193,D,0,3.4631095,757,785,1,0,11,0
194,D,3,1.9991904,728,737,1,1,11,1
195,D,0,3.000957,701,748,1,0,10,0
196,D,4,.95272088,772,742,1,1,9,1
197,D,1,3.8528228,756,770,1,1,9,1
198,D,1,3.1724479,701,746,1,0,11,1
199,D,3,4.8556471,767,738,1,1,11,0
200,D,2,.83138871,744,723,1,0,11,0
201,D,6,3.4439545,765,751,1,0,9,0
202,D,7,2.4209363,726,768,1,1,12,1
203,D,0,2.5221558,733,716,1,0,9,1
204,D,3,1.5377669,735,747,1,1,11,1
205,D,0,2.9896667,712,705,1,0,11,1
206,D,3,4.6878099,752,769,1,0,10,1
207,D,6,2.6616876,746,772,1,1,10,1
208,D,2,4.3795605,731,750,1,1,10,1
209,D,3,5.0482035,702,741,1,1,10,0
210,D,4,2.1387603,762,752,1,0,12,1
211,D,3,4.9144216,779,776,1,1,10,0
212,D,2,.41662833,730,747,1,0,12,0
213,D,6,.44459096,703,750,1,1,12,0
214,D,6,5.9052372,763,728,1,1,12,1
215,D,0,3.770896,755,751,1,0,10,0
216,D,1,2.6018233,756,742,1,0,10,0
217,D,3,2.9579055,783,753,1,0,10,1
218,D,0,3.6558793,707,729,1,0,9,1
219,D,2,1.9427452,749,716,1,1,9,0
220,D,0,3.2960162,740,767,1,0,9,0
221,D,2,2.6660163,698,728,1,0,10,1
222,D,7,2.844213,762,787,1,1,12,0
223,D,9,3.5280652,779,692,1,1,12,0
224,D,0,4.4478197,691,763,1,0,10,1
225,D,0,1.7603279,668,750,1,0,9,1
226,D,7,3.8359654,792,795,1,1,10,0
227,D,7,5.2533693,696,721,1,1,12,0
228,D,9,3.631103,741,792,1,1,9,1
229,D,0,2.3831592,751,739,1,0,9,0
230,D,6,3.2944131,733,761,1,1,12,0
231,D,0,3.629817,769,761,1,0,10,1
232,D,0,5.7859111,749,766,1,0,9,0
233,D,7,2.2448759,777,760,1,1,9,1
234,D,4,3.0123422,715,717,1,1,10,0
235,D,0,3.2941647,779,738,1,0,9,1
236,D,0,1.8611785,752,763,1,0,10,1
237,D,2,2.8576467,757,762,1,0,11,1
238,D,6,.9019739,744,732,1,1,11,1
239,D,7,4.2591224,748,688,1,1,12,0
240,D,0,3.8183632,792,806,1,0,9,1
241,D,4,.8397963,759,789,1,1,10,0
242,D,6,3.6580768,784,734,1,0,12,0
243,D,0,2.1599896,716,774,1,0,10,1
244,D,0,2.1215158,752,790,1,0,10,0
245,D,0,4.3296075,755,705,1,0,9,1
246,D,0,5.5509982,769,715,1,0,9,0
247,D,0,3.0622804,730,808,1,0,10,1
248,D,6,3.7478061,753,733,1,0,12,0
249,D,2,3.3904009,733,762,1,1,9,0
250,D,3,2.9211748,734,751,1,0,12,0
251,D,1,1.6274507,795,750,1,0,9,0
